study,duration.months,flossing,measure,n.flossing,mean.flossing,n.control,mean.control
1,1,manual,gingival.index,30,0.15,31,0.14
2,1,manual,gingival.index,35,0.56,18,0.67
3,1,manual,gingival.index,29,1.29,32,1.56
4,1,manual,gingival.index,85,0.65,33,0.84
5,1,manual,gingival.index,6,0.16,6,0.22
6,1,manual,gingival.index,39,0.83,39,0.98
7,1,automated,gingival.index,28,0.159,29,0.14
8,1,automated,gingival.index,32,0.51,17,0.67
1,1,manual,plaque,35,2.26,18,2.3
2,1,manual,plaque,29,2.23,32,2.97
3,1,manual,plaque,85,1.02,33,1.1
4,1,manual,plaque,39,2.18,39,2.11
5,1,automated,plaque,28,0.324,29,0.32
6,1,automated,plaque,32,2.21,17,2.3
1,3,manual,gingival.index,108,1.92,108,1.98
2,3,manual,gingival.index,30,0.13,32,0.15
3,3,manual,gingival.index,39,0.38,38,0.47
4,3,manual,gingival.index,37,0.63,37,0.77
5,3,manual,gingival.index,102,1.93,101,2.01
6,3,manual,gingival.index,12,0.64,12,0.9
1,3,manual,plaque,108,2.31,108,2.42
2,3,manual,plaque,39,29,38,1.61
3,3,manual,plaque,37,37,37,1.57
4,3,manual,plaque,102,102,101,2.4
5,3,manual,plaque,12,12,12,0.93
1,6,manual,gingival.index,105,1.91,105,2.02
2,6,manual,gingival.index,39,0.4,38,0.59
3,6,manual,gingival.index,37,1.01,37,1.06
4,6,manual,gingival.index,102,1.74,101,1.95
1,6,manual,plaque,105,2.46,105,2.57
2,6,manual,plaque,37,1.47,37,1.49
3,6,manual,plaque,102,2.52,101,2.48
